Unnamed: 0,제목,날짜,본문
97,미 정부 EU AI법 수용할 듯...린 파커 사임해도 영향은 미미,2022.08.10.,"최근 사임한 백악관 국가인공지능계획국 전 국장 린 파커(Lynne Parker)가 2017년에 열린 스위스 제네바 ITU에서 열린 AI for Good Global Summit에서... AI 등장 [관련 기사] 한국지능정보사회진흥원, 황종성 신임 원장 취임 [관련 기사] LG, AI 윤리 점검 TF 발족...연구진 대상 윤리원칙 교육 강화"
98,저커버그도 저격한 메타 ‘챗봇’의 도발…대략난감 AI,2022.08.17.,예상 밖의 AI 반응에 당황한 메타 “훌륭한 사업가이지만 그의 사업 방식이 항상 윤리적인 것은 아니다.” 의외였다. 예상 밖의 반응에 회사 측도 놀란 기색이 역력했다. 사실상 자신을 잉태시킨 마크 저커버그 메타(옛 페이스북) 최고경영자(CEO)의 도덕적 평가였기에 당혹감은 컸다. 메타의 인공지능(AI)...
99,"방통위, 디지털윤리 창작콘텐츠 공모…인식제고·학습 2개 부문",2022.08.17.,"기사내용 요약 개인·3인 이내 팀으로 참여 가능…9월30일까지 접수 방송통신위원회는 전 국민의 디지털윤리 역량 강화를 위한 '2022년 디지털윤리... 특히 학습 콘텐츠 부문에서는 코로나19로 확산된 온라인 원격 수업용 지도안을 함께 공모해 인공지능(AI), 메타버스와 같은 새로운 기술이 교육현장에서 접목될..."
101,[AI-META 시대 '미래전략'] <32·끝>메가 트렌드,2022.08.17.,"포스트 코로나 인공지능(AI) 메타버스 시대에는 사회, 문화예술, 교육, 과학기술, 경제, 환경, 정치, 복지, 가치관 등 모든 영역에서 사회 전반에 걸쳐... 활용 교육을 주도하고 있다. 한세대 미디어영상학부 교수이며 클린콘텐츠국민운동본부 회장으로 건강한 인성과 윤리 가치를 미디어와 콘텐츠를 통해..."
102,'서울디지털재단–IAAE 국제인공지능&윤리협회' 디지털 윤리 분야 공동 협력,2022.08.17.,"왼쪽부터 국제인공지능 윤리협회 황민수 부이사장, 황준호 이사, 전창배 이사장, 강요식 이사장, 주성환 실장, 김영현 팀장. [사진=서울디지털재단] 특히 서울시의 AI 공공 서비스 개발부터 고령층 디지털 격차해소 교육 까지서울디지털재단의 많은 사업이 좋은 반응을 얻고 있는 가운데, 이제는 사업 전반에..."
104,DQ(디지털 지능지수),2022.08.10.,"양철기 교육심리 박사·원남초 교장 2020년 30개국을 조사한 보고서(DQ 연구소, 2020)에 따르면 8~12세의 60%가 적어도 하나 이상의 디지털 위험(사이버... 그러나 인간이 만든 AI(인공지능)가 이제는 인간의 독점적 능력인 IQ나 EQ를 추월하는 시대가 되었다. 이에 디지털 윤리·기술과 미디어에 대한 개인의..."
105,"교육부, '사람의 성장을 지원하는 AI' 윤리원칙 첫 마련",2022.08.10.,"인공지능(AI)의 안전한 개발과 활용을 위한 교육분야 인공지능 관련 윤리원칙이 처음으로 마련된다. 교육부는 10일 '교육분야 인공지능 윤리원칙(윤리원칙)'을 확정해 발표했다. 윤리원칙은 지난 1월 27일 시안 발표 이후 공청회와 전문가 간담회, 국제 의견 조회 등 광범위한 의견 수렴을 거쳐 마련됐다...."
106,[동아광장/이성주]책임감 있는 AI,2022.08.10.,"관련 교육은 상대적으로 부족해 보인다. 보스턴대는 대학 간 연합으로 책임감 있는 AI, 법, 윤리, 사회라는 강좌를 제공하고 있다. 이 강좌에서는 사회 여러 분야에서 인공지능이 활용될 때 발생 가능한 법적 책임, 차별, 투명성 문제들을 다룬다. 영국 케임브리지대에서는 작년 10월 ‘책임감 있는 AI’ 석사 과정을..."
107,"서울디지털재단-IAAE 국제인공지능&윤리협회, 디지털 윤리 분야 공동 협력",2022.08.10.,"특히, 서울시의 AI 공공 서비스 개발부터 고령층 디지털 격차 해소 교육까지 서울디지털재단의 많은 사업이 좋은 반응을 얻고 있는 가운데, 이제는 사업 전반에 ‘디지털 윤리’를 접목해 사회적 가치를 창출한다는 계획이다.이를 위해 서울디지털재단과 IAAE 국제인공지능&윤리협회는 지난 16일 ‘디지털..."
108,"당진교육지원청, 충남형 인공지능교육 교원 연수",2022.08.01.,"티처블 머신 활용 수업 실습 △엔트리 모델학습 활용 수업 실습 △인공지능 윤리교육 이해 등의 주제로 진행된다. 김용재 교육장은 ""이번 연수로 학생들의 컴퓨팅 사고력 신장과 함께 인공지능 활용 인재로 성장할 수 있는 밑거름이 될 것으로 기대되며, 앞으로도 SW, AI학습 기회를 대폭 확대하겠다"" 라고 밝혔다."
109,"수리연, IAAE 국제인공지능&윤리협회, 산업수학 기반 AI 사업 협력",2022.08.01.,"국가수리과학연구소(김현민 소장)와 국제원자력기구(IAAE) 국제인공지능&윤리협회(전창배 이사장)는 산업수학 기반 인공지능(AI) 사업 협력을 위한... 초거대 AI 등 분야 기술과 산업 발전에 기여하는 사업 협력 △AI, AI윤리 전문가 양성을 위한 공동 교육 추진 △산업수학 및 유관 AI 기술 저변 확산을 위한..."
110,"천안교육지원청, 2022 AI교육 교원 전문성 신장 연수",2022.08.01.,"특히, 이번 연수는 충남 미래교육을 이끄는 교사들의 AI역량을 강화하기 위해 초등 5, 6학년 담임 교사와 중고등학교 정보교과 교사, 정보교육 담당교사를 대상으로 진행되고 있다. 충남형 인공지능 교육을 이해하고 인공지능 이해, 활용, 융합, 윤리의 영역에서 실제 학교 현장에서 교과별로 적용할 수 있는..."
111,"""초등 문해력 이대론 안돼""…국어 수업 年 34시간 늘린다",2022.08.01.,"초등학교에서는 절차적 문제해결 과정을 간단한 프로그래밍을 통해 놀이·체험으로 체득하고, 중학교에서는 컴퓨팅 사고 과정 이해와 실생활 중심의 인공지능(AI) 윤리 등에 대한 교육을 한다. 고등학교에서는 진로에 따른 코딩 등 기초역량 함양할 수 있게 다양한 선택과목을 개설할 방침이다. 교육부는 이날..."
116,"TTA, AI 제품·서비스 신뢰성 확보 컨설팅 제공",2022.08.01.,"있는 인공지능 개발 안내서'를 공개했다. 올해는 이를 기반으로 AI 제품·서비스 개발 또는 운용 과정에서 발생 가능한 윤리적 이슈 및 위험 발생 요소를... 컨설팅은 무료로 진행되며, 선정된 인공지능 제품·서비스를 대상으로 연말까지 신뢰성 교육, 진단 및 개선방안 제안 등 분야별 맞춤 컨설팅을 지원받을..."
117,"전주비전대 평생교육원, AI융합교육·데이터라벨러 수강생 모집",2022.08.01.,전북 전주비전대학교 평생교육원은 ‘AI융합교육 자격취득과정’과 ‘데이터라벨러 수료과정’에 참여할 수강생을 모집한다고 2일 밝혔다. 모집은... 인공지능 윤리 이해 △인공지능학습용 데이터 구축과정 이해 등으로 구성된다. 교육기간은 22일부터 9월15일까지 매주 월요일에서 목요일까지 총 60시간으로...
118,인공지능 활용 '윤리원칙' 교육 현장에 스며든다,2022.08.09.,교수자와 학습자 간 고차원 지적 활동인 교육의 과정에 인공지능(AI) 기술이 활용되기 시작한 것이다. 인공지능의 안전한 개발과 활용을 위해 교육분야 인공지능 관련 윤리원칙이 처음으로 마련돼 주목을 받고 있다. 지난 11일 교육부에 따르면 교육분야 인공지능이 윤리적으로 개발되고 안전하게 활용될 수...
119,[AI-META 시대 '미래전략'] <22>인공지능 미래 발전과 대응,2022.08.09.,이때 그는 이미 “30년 후엔 인간의 뇌를 인공지능(AI)과 연결하는 인터페이스 기술이 나올 것이고 인간의 뇌를 다운로드해 인간이 영생할 수 있도록... 최근엔 인공지능과 메타버스 연구와 정책 및 활용 교육을 주도하고 있다. 또 클린콘텐츠운동본부 회장으로서 건강한 인성과 윤리 가치를...
120,글로벌 AI 컨퍼런스 ‘AWC 2022 in Busan’ 오는 9월 벡스코에서 개최,2022.08.09.,"주관하는 윤리대전 행사는 올해 3회째를 맞았으며, 김태성 MBC플러스 제작센터장, 주윤경 NIA 지능정보윤리팀장 등 인공지능 윤리 전문가들이 참여해 세션을 진행할 예정이다. 한편, AWC는 국내 최대규모 AI 종합 전시회인 ‘AI KOREA’와 동시 개최된다. AI KOREA에서는 AI교육관, 블록체인관..."
121,“×× 같이 생겨서” AI 막말 거른다,2022.08.30.,"LG그룹이 인간존중·공정성·안전성·책임성·투명성 등 5대 핵심 가치를 담은 인공지능(AI) 윤리원칙을 24일 발표했다. LG는 초거대 AI ‘엑사원’으로... 또 그룹 내 AI 연구 허브인 LG AI 연구원은 ‘AI 윤리 점검 TF’를 신설해 구성원을 대상으로 AI 윤리원칙 교육, 연구개발 단계에서 사전 검증 등을 진행할..."
123,"천안교육청, 2022 AI교육 교원 전문성 신장 연수",2022.08.01.,"이번 연수는 충남 미래교육을 이끄는 교사들의 AI역량을 강화하기 위해 초등 5, 6학년 담임 교사와 중고등학교 정보교과 교사, 정보교육 담당교사를 대상으로 진행된다. 충남형 인공지능 교육을 이해하고 인공지능 이해, 활용, 융합, 윤리의 영역에서 실제 학교 현장에서 교과별로 적용할 수 있는 실습 위주로..."
126,'마인드 익스프레션'으로 대화형 AI의 신기원을 연다,2022.08.01.,"마인드에이아이 이정환 대표는 마인드 익스프레션 서비스를 소비자 응대는 물론 향후 교육, 의료, 경제 등 산업 전방위에 적용할 방침이다. Q.... 가치와 윤리를 AI 제3의 물결을 핵심으로 삼고 있다. AI의 새로운 패러다임을 제시한 마인드에이아이가 인공지능 선도 기업으로 독보적인 기술력을 통해 국내를..."
127,초1·2 국어수업 34시간 늘린다…주요 과목에 '디지털 접목',2022.08.30.,중심의 인공지능(AI) 윤리 등을 배운다. 고등학교에서는 진로에 따른 코딩 실습 등 다양한 선택과목을 개설할 방침이다. 정보 교과뿐 아니라 영어·수학·과학·사회 등 주요 교과에도 디지털 교육이 접목된다. 기존에는 초등학교 5학년 수학 수업에서 문제 풀이를 통해 평행사변형의 넓이를 구했다면 앞으로는...
128,"포항공대, AI비즈니스 위한 최고경영자 교육 실시",2022.08.26.,이번 교육 프로그램은 AI기술을 활용해 비즈니스 성과를 창출할 수 있는 경영자 양성을 목적으로 한다. 포항공대와 함께 ▲디지틀조선일보 ▲THE AI(더에이아이) ▲국제인공지능&윤리협회(IAAE)의 총 4개 기관이 공동 운영한다. 주요 강사진에는 김광재 포항공대 부총장을 비롯해 김원화 인공지능대학원...
129,[#IT라운지] KT-BBQ '업무협약'·U+ 'NFT 민팅'·SK C&C '생태환경교육',2022.08.26.,"31일 IT업계에서는 업무협약(MOU) 체결, NFT 민팅, 강원도 생태환경교육 지원, 코딩북 제작 참여, 다이어리 서비스 부활, 신규 서비스 출시 등의 소식이... 스탠포드대의 '인간중심 AI 연구소'가 발행하는 'AI 인덱스'의 올해 보고서에서 'AI의 산업화 및 윤리적 문제 증가'라는 주제로 인공지능 윤리 및 데이터..."
130,"""미래기술 전문성 갖추고 인문학 이해하는 초융합 인재 필요""",2022.08.22.,"강한승 쿠팡 대표는 “이제는 물류산업도 인공지능(AI), 드론, 모빌리티에 대한 이해가 필요하다”며 “한국의 교육이 이 같은 융복합 전문성을 가진... 인성 교육을 소홀히 하면 안 된다는 것이다. 정진택 고려대 총장은 “인재의 중요한 덕목 중 하나는 윤리관”이라며 “인재들이 이직하며 경쟁사나 다른..."
131,[ET단상]미래교육 혁명에 나라 운명 걸렸다,2022.08.22.,"교육의 근본 문제는 70년이 넘은 낡은 구조가 인공지능(AI) 시대 창의적 인재 양성을 가로막고 있기 때문이다. 미래는 인간이 하던 많은 일이 AI 로봇으로... 산업화 시대는 지능지수(IQ), 인터넷 혁명 시대는 감성지수(EQ), AI 혁명 시대는 DQ가 국가 경쟁력을 좌우한다. DQ는 윤리적으로 디지털 기술을 이해하고..."
132,"화웨이, '씨드 포 더 퓨처' 개최…16개국 대학생 대상",2022.08.22.,"또한 업계 최고 전문가들로부터 5G, 인공지능(AI), 클라우드 컴퓨팅 등 최첨단 기술 교육을 받게 된다. 이번 행사는 화웨이와 아세안재단이 지난해 씨드 포... 쿤잉 칼라야 소포파니치 태국 교육부 차관은 ""태국 교육부는 도덕과 윤리에 중점을 두는 만큼 디지털 기술에 대해서도 강조하고 있다""며 ""이는 모든..."
133,국민이 신뢰할 수 있는 모범적인 메타버스 생태계 초석 다진다,2022.08.24.,"여성가족부, 교육부, 외교부, 방송통신위원회, 경찰청 등의 정부 부처와 산업계, 법조계, 학계, 메타버스 유관기관 등 17명의 위원이 참석해 정보통신정책연구원(KISDI)에서 제안한 ‘메타버스 윤리원칙’ 초안을 토론하였다. 코로나 19로 촉발된 비대면 수요의 급증, 인공지능(AI), 클라우드(Cloud), 가상융합기술..."
134,"AI·빅데이터, 호주 일상 바꾸나…국가 생산성 제고책 공개",2022.08.24.,"호주 생산성위원회, 연구보고서 발표…정부, 내주 관계회의 정동철 통신원 = 호주 정부가 향후 빅데이터·인공지능(AI)과 고속 인터넷 확충을 통해 국민... 특히 빅데이터 축적을 위해 국가 재정 지원을 받는 보건·교육·양로·고용·보육 분야는 더 많은 고객 정보를 연방 정부와 공유할 필요가 있다고 강조했다...."
137,"한동대, AI 시대 차세대 기업가정신훈련 캠프 진행",2022.08.25.,"임팩티브 AI 파트너 최은창, 강서영 박사 등이 참여해 50여 명의 개도국 출신 대학생들을 대상으로 경영·재무·ICT·기업 윤리 등의 분야에서 기업가정신 적용을 교육하고 있다. 또 참가자들은 4박 5일 동안 팀별로 △사업 아이템 계획 및 발전 △사업계획서 발표 △실습 교육 등을 수행한다. 최도성 한동대..."
138,디지털 시대의 주인공이 될 100만 인재 양성한다,2022.08.25.,"[교양교육, 인공지능(AI)튜터링 등]을 지원하고, 한국형 온라인 공개강좌(K-MOOC) 내 디지털 등 신기술 분야 강좌를 제공(2022. 138개)한다.디지털 평생학습... 디지털 교육환경 ‘인공지능교육진흥법’과 ‘교육 분야 인공지능 윤리기준’을 마련하고, 디지털 기반 교수학습 통합 플랫폼 및 마이포트폴리오..."
140,"'디지털 인재 100만명 키운다'…정부, '디지털 인재양성 종합방안' 마련",2022.08.25.,"인공지능(AI) 융합교육 중심고(~26. 180교), 방학 중(방과후) 디지털(SW‧AI) 캠프 지원, (가칭)온라인고교 등을 통한 공동교육과정 지원으로 지역과 학교의... '인공지능교육진흥법'과 '교육분야 인공지능 윤리기준'을 마련하고 디지털 기반 교수학습 통합 플랫폼 및 마이포트폴리오(디지털 배지 연계)를..."
152,"정부, 100만 디지털 인재양성 종합방안 확정·발표",2022.08.23.,"▶에듀테크 AI 기반 맞춤형 학습 시스템(AI 보조교사(초중등), AI 튜터링(대학))을 지원(2024~)하고, 디지털 교과서 및 콘텐츠(AR, VR, 메타버스 등)를 지속 확대·보급한다. ▶디지털 교육환경 '인공지능교육진흥법'과 '교육분야 인공지능 윤리기준'을 마련하고 디지털 기반 교수학습 통합 플랫폼 및 마이포트폴리오..."
154,"무하유, LMS 연동형 표절검사 서비스 ‘CK 브릿지’ 공개 예정",2022.08.09.,"자연어를 이해하는 실용 인공지능(AI) 기술 기업 무하유가 학생들의 과제물에 대한 표절을 검사할 서비스를 선보일 예정이다. 23일 업계 관계자에 따르면, 무하유는 오는 25일 열리는 ‘2022 대학교육개발센터협의회 제 20회 하계워크숍’에 참가한다. 이날 자사의 학습관리시스템(LMS) 연동형 표절검사 서비스..."
156,"서울사이버대 이성태 교수, 서적 '메타버스의 정석 feat. 게더타운' 발간",2022.08.09.,"단기 교육과정 개발 사업으로 정보보호 분야 종사자를 위한 AI-보안 융합 전문가 과정(7종)개발 PM을 맡고 있다. 또한 K-MOOC에 [인공지능 윤리]라는 과목명으로 인공지능 기술의 도래에 따른 기술/문화 발전에 따른 순기능과 더불어, 역기능 발생 문제 및 AI 악용 사례들을 제시하고, 이에 대한 대응 및..."
158,"이성태 서울사이버대 공과대학 교수, 서적 '메타버스의 정석 feat. 게더타운'...",2022.08.09.,"단기 교육과정 개발 사업으로 정보보호 분야 종사자를 위한 AI-보안 융합 전문가 과정(7종)개발 PM을 맡고 있다. 또한 K-MOOC에 '인공지능 윤리'라는 과목명으로 인공지능 기술의 도래에 따른 기술/문화 발전에 따른 순기능과 더불어 역기능 발생 문제, AI 악용 사례들을 제시하고 이에 대한 대응..."
159,[2023수시] 수도권까지 신설학과 '총망라'.. '4차산업 유망' 첨단학과 등 '주...,2022.08.09.,"동국대 AI소프트웨어융합/한국음악과, 숙명여대 인공지능공학/컴퓨터과학/지능형전자시스템/신소재물리/데이터사이언스, 한국외대 글로벌자유전공... 기술의 윤리적 문제를 포함해 인공지능 분야에 필요한 전문인력이 갖춰야 할 기본 소양을 함양할 수 있는 교육 프로그램을 제공하고, 전문적 이론의..."
160,[기고] 의료 교육 디지털전환이 가져올 변화와 과제,2022.08.09.,글로벌 의료 교육 현장은 코로나19 이후 10년치 혁신이 앞당겨졌다는 이야기가 나올 정도로 급변하고 있다. 특히 대규모 모임이 제한되는 사회적 거리두기가 일상화하면서 다양한 첨단기술을 활용해 실습 현장이라는 물리적 한계를 극복하려는 움직임이 나타났다. 그동안 의료계는 인공지능(AI) 기술을 활용한...
161,[신간산책] 똑똑한 기계들 사이에서,2022.08.09.,"인공지능이 사람들의 결정에 영향을 미친다면 어떨까? 매 순간 다른 사람들의 마음 상태를 알게 된다면? 똑똑한 기계들은 사람들의 행동 방식을 변화시켰고 지금도 계속 바꾸고 있다. 『똑똑한 기계들 사이에서』는 AI 세상에서 제대로, 잘 살기 위한 다양한 방법을 안내한다. 더 나은 세상을 만들기 위해서는..."
162,[Who Is ?] 김남호 DB그룹 회장,2022.08.09.,"2009년 4월 동부제철 인사팀 교육담당 차장으로 자리를 옮겨 동부제철 도쿄지사에서 근무했다. 2010년 4월 동부제철 차장으로 복귀했다. 2012년 1월... "" (2020/11/05, 강원도 춘천시 세종호텔에서 동곡사회복지재단 주최로 열린 제15회 동곡상 시상식에서) ""인공지능(AI)과 빅데이터 활용이 늘면서 각종 데이터가..."
