Unnamed: 0,제목,날짜,본문
52,[2022 정시 입학정보] 경희대학교,2021.12.08.,"학생은 이론을 제조, 금융, 이커머스, 교육, 의료, 메타버스 등 첨단 분야에 접목해 경영과 창업이 가능한 능력 있고 윤리적인 인재로 성장할 수 있다.... 인공지능학과에 입학한 학생은 이론과 실무를 융합한 교육으로 AI 기술을 사회에 적용할 수 있는 인재로 성장한다. 컴퓨터공학과와 협력해 기본적인..."
53,세상을 바꾸는 기업들(6위~26위),2021.12.08.,"하지만 배터리 혁명이 인권과 지구를 위험에 빠트리고 있다""고 비판하며, 기업들에게 윤리적으로 채굴한 코발트의 공급망 구축을 촉구했다. 적극... 체크알은 인공지능(AI)과 '스토리 취합 시스템', 인적 분석 등을 활용한다. 그래서 리프트와 넷플릭스 같은 고용주들이 지원자의 체포나 유죄판결 전력이..."
54,"삼성전자, '디지털 포용성 평가' 글로벌 4위",2021.12.08.,삼성전자는 '디지털 포용성' 평가에서 △인공지능(AI) 분야에서 공정성·투명성·책임성을 추구하는 'AI 윤리 원칙' 공개 △사외 스타트업 육성... '씨컬러스(SeeColors)' 앱을 개발하는 등 장애인들의 제품 접근성 향상을 위한 노력과 초·중학생 소프트웨어 교육 프로그램인 '삼성 주니어 SW...
56,"삼성전자, 디지털 포용성 평가 글로벌 4위",2021.12.08.,"삼성전자는 이번 '디지털 포용성' 평가에서 ▲인공지능(AI) 분야에서 공정성·투명성·책임성을 추구하는 'AI 윤리 원칙' 공개 ▲사외 스타트업 육성... 삼성전자 관계자는 ""탄소 저감, 자원 순환, 생태 복원 등 다양한 활동을 통해 환경을 보호하고 인권과 다양성 존중, 미래세대 교육, 기술 혁신을 통한..."
57,"삼성전자, '디지털 포용성' 글로벌 4위…아시아 기업 중 1위",2021.12.08.,"삼성전자는 이번 디지털 포용성 평가에서 인공지능(AI) 분야에서 공정성·투명성·책임성을 추구하는 ‘AI 윤리 원칙’ 공개와 사외 스타트업 육성... 소프트웨어 교육 프로그램인 ‘삼성 주니어 SW 아카데미’, 청소년과 미취업 청년에게 IT 프로그래밍, AI 기술 교육을 지원하는 ‘삼성 이노베이션 캠퍼스’..."
60,"""사범대 졸업해야 공통과목 교사 가능""…교육부, 중등 교원 양성 규모 축소",2021.12.08.,"과정과 교육대학원을 중심으로 양성한다. 인공지능(AI), 드론 등 신규분야 교직과정은 입학정원 30% 내에서 운영이 가능하도록 해 현행 10%보다 대폭... 이밖에도 교원 양성 과정에서 윤리의식·인성 등 바른 교직관을 갖춘 교원을 양성할 수 있도록 대학 생활 기록 등을 종합적으로 검토하는 적·인성 검증체계도..."
62,삼성전자 ‘디지털 포용성’ 세계 4위,2021.12.08.,"삼성전자는 디지털 포용성 평가와 관련해 인공지능(AI) 분야에서 공정성·투명성·책임성을 추구하는 ‘AI 윤리 원칙’ 공개, 사외 스타트업 육성... 초·중학생 소프트웨어 교육 프로그램인 ‘삼성 주니어 SW 아카데미’를 운영하는 등 청소년 교육 중심의 사회공헌활동도 높은 평가를 받았다. 한편 이번..."
63,"[긴급진단] ""교육부에서 대학을 분리… 혁신생태계 허브로서 대학 역할에 주목...",2021.12.08.,"이를 위해 △교육부의 전면 개편 △대학의 혁신생태계 허브 역할로서의 지원 △기초과목들에 대한 AI보조교사 도입 △평생학습자와 해외학생 교육 위한... 재능과 기술도 필요하겠지만 인성교육이 가장 중요하다고 생각한다""고 밝혔다. 인공지능만으로 할 수 없는 스스로 윤리적 판단과 가치판단을 하게끔..."
64,"삼성전자, 디지털 포용성 평가서 글로벌 4위",2021.12.08.,"삼성전자는 이번 디지털 포용성 평가에서 ▲인공지능(AI) 분야에서 공정성·투명성·책임성을 추구하는 AI 윤리 원칙 공개 ▲사외 스타트업 육성... 소프트웨어 교육 프로그램인 삼성 주니어 SW 아카데미, 청소년과 미취업 청년에게 IT 프로그래밍, AI 기술 교육을 지원하는 삼성 이노베이션 캠퍼스..."
65,"삼성전자, '디지털 포용성 평가' 글로벌 4위…아시아 1위",2021.12.08.,"삼성전자는 이번 '디지털 포용성' 평가에서 △인공지능(AI) 분야에서 공정성·투명성·책임성을 추구하는 'AI 윤리 원칙' 공개 △사외 스타트업... 소프트웨어 교육 프로그램인 '삼성 주니어 SW 아카데미', 청소년과 미취업 청년에게 IT 프로그래밍, AI 기술 교육을 지원하는 '삼성 이노베이션 캠퍼스..."
67,삼성전자 ‘디지털 포용성’ 세계 4위,2021.12.08.,"WBA는 삼성전자가 AI(인공지능) 분야에서 공정성, 투명성, 책임성을 추구하는 ‘AI 윤리 원칙’을 공개하고, 사외 스타트업 육성 프로그램 ‘C랩... (소프트웨어) 교육 프로그램인 ‘삼성 주니어 SW 아카데미’, 청소년과 미취업 청년에게 IT(정보기술) 프로그래밍과 AI 기술 교육을 지원하는 ‘삼성..."
73,[카드 News] 하나카드·삼성카드·현대카드,2021.12.08.,"'하나합'이 선보이는 '내 지출 한눈에' 서비스는 인공지능(AI)을 활용, 소비데이터를 기반으로 소비패턴과 소비성향을 분석해준다./하나카드 하나카드가... 매년 전 임직원을 대상으로 컴플라이언스 및 정보보안 필수 교육을 시행하고 각 부서별로 선임된 준법감시 담당자를 통해 매 분기별 준법 감시 실천..."
74,"삼성전자, 디지털포용성 평가 세계 4위",2021.12.08.,삼성전자는 이번 디지털포용성 평가에서 △인공지능(AI) 분야에서 공정성·투명성·책임성을 추구하는 'AI 윤리 원칙' 공개 △사외 스타트업 육성... 초·중학생 소프트웨어 교육 프로그램인 '삼성 주니어 SW 아카데미' 등 청소년 교육 중심의 사회공헌 활동도 높은 평가를 받았다.
75,"삼성전자, WBA 디지털 포용성 평가…""글로벌 4위·아시아 1위""",2021.12.08.,"삼성전자는 이번 '디지털 포용성' 평가에서 ▲인공지능(AI) 분야에서 공정성·투명성·책임성을 추구하는 'AI 윤리 원칙' 공개 ▲사외 스타트업 육성... 소프트웨어 교육 프로그램인 '삼성 주니어 SW 아카데미', 청소년과 미취업 청년에게 IT 프로그래밍, AI 기술 교육을 지원하는 '삼성 이노베이션..."
76,"삼성전자, 디지털 포용성 평가에서 글로벌 4위",2021.12.08.,삼성전자는 이번 '디지털 포용성' 평가에서 ▲인공지능(AI) 분야에서 공정성·투명성·책임성을 추구하는 'AI 윤리 원칙' 공개 ▲사외 스타트업 육성 프로그램인 'C랩 아웃사이드'를 통한 기술혁신 생태계 기여 등에 높은 점수를 받았다. 또 장애인들의 제품 접근성 향상을 위한 노력과 청소년 교육...
81,"삼성전자, 디지털 포용성 평가에서 세계 4위",2021.12.08.,삼성전자는 이번 평가에서 인공지능(AI) 분야에서 공정성·투명성·책임성을 추구하는 ‘AI 윤리 원칙’을 공개하고 사외 스타트업 육성 프로그램인... 삼성전자는 청소년 교육 중심의 사회 공헌 활동에서도 높은 평가를 받았다. 삼성전자는 초·중학생 소프트웨어 교육 프로그램인 ‘삼성 주니어 SW...
82,청년실업·교육격차 해소 앞장… 미래인재 키우는 삼성 [2021 사회공헌대상],2021.12.08.,"올해 400개 초·중학교를 1학기, 2학기 각각200개 학교에서 진행될 예정으로 올해부터 교육현장의 수요를 반영해 인공지능(AI) 교육을 실시한다. 교육은 학생들의 눈높이에 맞춘 △AI의 이해 △AI 실습 △스스로 문제 해결 능력을 향상시키는 프로젝트 수업 △AI 윤리로 구성된다. 삼성전자는 삼성 주니어 SW..."
83,"[M-커버스토리] 이통사·포털, ESG 리딩 컴퍼니 도약 위한 ESG 경쟁 '가열'",2021.12.08.,"네이버는 또 사회 분야에서 기업윤리규범과 인공지능(AI) 윤리준칙, 개인정보 자기통제권 정책, 컴플라이언스 조직 신설과 체계 정립, 2021년 8월 반부패경영시스템(ISO37001) 도입, 직군별 교육훈련 체계 등 인재 양성 프로그램도 이어가고 있다. 카카오는 지난 1월 ESG에 대한 중요성을 인식하고 이사회..."
