Unnamed: 0,제목,날짜,본문
84,"TV에 색약자 색 보정앱 탑재, 삼성전자 디지털 포용성 평가 세계 4위",2021.12.08.,삼성전자는 이번 디지털 포용성 평가에서 인공지능(AI) 분야에서 공정성·투명성·책임성을 추구하는 'AI 윤리 원칙' 공개 분야와 사외 스타트업... 청소년 교육 중심의 사회공헌 활동도 높은 평가를 받았다고 삼성전자는 설명했다. 삼성전자는 초·중학생 소프트웨어 교육 프로그램인 '삼성 주니어 SW...
85,"삼성전자, 디지털 포용성 평가 4위로 상승…디지털 기술 사회와 공유 성과",2021.12.08.,"▲인공지능(AI) 분야에서 공정성·투명성·책임성을 추구하는 'AI 윤리 원칙' 공개 ▲사외 스타트업 육성 프로그램인 'C랩 아웃사이드'를 통한 기술혁신... 소프트웨어 교육 프로그램인 '삼성 주니어 SW 아카데미', 청소년과 미취업 청년에게 IT 프로그래밍, AI 기술 교육을 지원하는 '삼성 이노베이션 캠퍼스..."
89,"삼성전자, 디지털 포용성 평가 세계 4위…애플은?",2021.12.08.,삼성전자는 ▲인공지능(AI) 분야 공정성·투명성·책임성을 추구하는 ‘AI 윤리 원칙’ 공개 ▲사외 스타트업 육성 프로그램 ‘C랩 아웃사이드’를... 소프트웨어 교육 프로그램 ‘삼성 주니어 소프트웨어(SW) 아카데미’ 등 청소년 교육 중심 사회공헌 활동 등이 좋은 점수를 받았다. 한편 애플...
95,"삼성전자, 디지털 포용성 평가서 글로벌 4위",2021.12.08.,"삼성전자는 이번 ‘디지털 포용성’ 평가에서 ▲인공지능(AI) 분야에서 공정성·투명성·책임성을 추구하는 'AI 윤리 원칙' 공개 ▲사외 스타트업... 소프트웨어 교육 프로그램인 '삼성 주니어 SW 아카데미', 청소년과 미취업 청년에게 IT 프로그래밍, AI 기술 교육을 지원하는 '삼성 이노베이션 캠퍼스..."
96,"삼성전자, ‘디지털 포용성 평가’서 세계 4위",2021.12.08.,"삼성전자는 인공지능(AI) 분야에서 공정성과 투명성, 책임성을 추구하는 ‘AI 윤리원칙’을 공개하고, 사외 스타트업 육성 과정 ‘C랩 아웃사이드’... (앱)을 비롯한 장애인의 제품 접근성 향상 노력, 학생 및 청년을 대상으로 한 소프트웨어(SW), AI 교육 등 사회공헌 활동도 높은 평가를 받았다."
103,[Who Is ?] 조석 현대일렉트릭앤에너지시스템 대표이사 사장,2021.12.09.,"현대일렉트릭은 산업인공지능(AI) 전문기업 띵스파이어(Thingspire)를 비롯해 한국산업기술대학교, 한국산업기술시험원 등 모두 13개 민간기업 및... 한수원은 조직이나 제도와 같은 경영시스템의 혁신보다 보안의식과 청렴도를 높일 수 있는 윤리 의식과 조직문화 혁신이 더욱 중요한 과제라는 지적을..."
104,"삼성전자, 디지털 포용성 평가 글로벌 10위서 4위로 '껑충'",2021.12.08.,"삼성전자는 이번 '디지털 포용성' 평가에서 ▲인공지능(AI) 분야에서 공정성·투명성·책임성을 추구하는 'AI 윤리 원칙' 공개 ▲사외 스타트업 육성... 소프트웨어 교육 프로그램인 '삼성 주니어 SW 아카데미', ▲청소년과 미취업 청년에게 IT 프로그래밍, AI 기술 교육을 지원하는 '삼성 이노베이션..."
108,"삼성전자, 디지털 포용성 평가서 글로벌 4위...지난해보다 6단계↑",2021.12.08.,"삼성전자는 이번 '디지털 포용성' 평가에서 ▲인공지능(AI) 분야에서 공정성・투명성・책임성을 추구하는 'AI 윤리 원칙' 공개 ▲사외 스타트업... 소프트웨어 교육 프로그램인 '삼성 주니어 SW 아카데미', 청소년과 미취업 청년에게 IT 프로그래밍・AI 기술 교육을 지원하는 '삼성 이노베이션..."
112,수능 점수 통한 정시 지원 가능 대학 어디?,2021.12.08.,"충남대 경영·경제·행정·심리·국어교육·영어교육, 충북대 역사교육 359점, 충남대 무역·언론정보·공공안전·정치외교·교육, 충북대 심리·윤리교육... 중앙대 AI·창의ICT공과대학·소프트웨어, 이화여대 인공지능 397점, 서강대 화공생명공학·생명과학, 성균관대 수학교육·건설환경공학·자연과학계열..."
113,"삼성전자, 디지털포용성 평가 글로벌 4위 선정",2021.12.08.,"것으로 ▲인공지능(AI) 분야에서 공정성·투명성·책임성을 추구하는 'AI 윤리 원칙' 공개 ▲사외 스타트업 육성 프로그램인 'C랩 아웃사이드'를 통한... 소프트웨어 교육 프로그램인 '삼성 주니어 SW 아카데미', 청소년과 미취업 청년에게 IT 프로그래밍, AI 기술 교육을 지원하는 '삼성 이노베이션..."
